DESCRICAO                                     GAMA   UN |     MAT  D%  +DESP  +MARG  =MAT.C |     MO  +DERR  +LUCR   =MO.C |    FINAL
RUFOS                                            -   ml |   28.00  3%   0.84  10.09   38.93 |  10.00   1.50   4.02   15.52 |    54.46

Pack sanita back to wall rimless branca B     base   un |  109.00  0%   0.00  38.15  147.15 |  65.00   9.75  26.16  100.91 |   248.06
SANITA CHAO                                  media   un |  220.00  0%   0.00  77.00  297.00 |  65.00   9.75  26.16  100.91 |   397.91
SANITA SUSPENSA                            premium   un |  380.00  0%   0.00 133.00  513.00 |  65.00   9.75  26.16  100.91 |   613.91
Sanita suspensa rimless design premium     premium   un |  500.00  0%   0.00 175.00  675.00 |  65.00   9.75  26.16  100.91 |   775.91

Membrana respirável AXTON 135g 75m2              -   m2 |    1.05  5%   0.05   0.39    1.49 |   5.00   0.75   2.01    7.76 |     9.25
Membrana respirável / pára-vento                 -   m2 |    3.50  5%   0.18   1.29    4.96 |   5.00   0.75   2.01    7.76 |    12.72
Subtelha ondulada ventilada                      -   m2 |    6.50  5%   0.33   2.39    9.21 |   5.00   0.75   2.01    7.76 |    16.98
SUBTELHA                                         -   m² |   12.00  5%   0.60   4.41   17.01 |   5.00   0.75   2.01    7.76 |    24.77

Telha cerâmica Lusa                              -   m2 |   12.00  5%   0.60   4.41   17.01 |  15.00   2.25   6.04   23.29 |    40.30
TELHA CERAMICA                                   -   m² |   35.00  5%   1.75  12.86   49.61 |  15.00   2.25   6.04   23.29 |    72.90

Termoacumulador electrico 150L                   -   un |  450.00  0%   0.00 157.50  607.50 | 150.00  22.50  60.37  232.88 |   840.38
TERMOACUMULADOR 150L                             -   un |  550.00  0%   0.00 192.50  742.50 | 150.00  22.50  60.37  232.88 |   975.38

TERMOACUMULADOR 80L                              -   un |  380.00  0%   0.00 133.00  513.00 | 120.00  18.00  48.30  186.30 |   699.30

TOALHEIRO                                        -   un |   85.00  0%   0.00  29.75  114.75 |  20.00   3.00   8.05   31.05 |   145.80

TORNEIRA DUCHE                                   -   un |  180.00  0%   0.00  63.00  243.00 |  45.00   6.75  18.11   69.86 |   312.86
Fornecimento e montagem de coluna de duch        -   un |  280.00  0%   0.00  98.00  378.00 |  45.00   6.75  18.11   69.86 |   447.86

TORNEIRA LAVATORIO                               -   un |  120.00  0%   0.00  42.00  162.00 |  35.00   5.25  14.09   54.34 |   216.34

VMC simples fluxo higroregulável                 -   un |  450.00  0%   0.00 157.50  607.50 | 400.00  60.00 161.00  621.00 |  1228.50
VMC                                              -   un | 1800.00  0%   0.00 630.00 2430.00 | 400.00  60.00 161.00  621.00 |  3051.00
VMC duplo fluxo com recuperador de calor         -   un | 2500.00  0%   0.00 875.00 3375.00 | 400.00  60.00 161.00  621.00 |  3996.00

Poliestireno extrudido XPS 40mm                  -   m2 |    8.00  5%   0.40   2.94   11.34 |   4.00   0.60   1.61    6.21 |    17.55
Poliestireno extrudido XPS 60mm                  -   m2 |   11.50  5%   0.58   4.23   16.30 |   4.00   0.60   1.61    6.21 |    22.51

============================================================================================================================================

FORMULA:
  MATERIAL: Preco x (1 + Desperdicio%) x (1 + Margem%) = Material ao Cliente
  MO:       MO    x (1 + 15% Derrapagem) x (1 + 35% Lucro) = MO ao Cliente
  FINAL:    Material ao Cliente + MO ao Cliente = PRECO CONSUMIDOR FINAL

  Margem Material padrao: 35% (standard mercado)
  Margem Janela:          10% (preco ja inclui instalacao)
  Derrapagem MO:          15%
  Lucro MO:               35%

  Total: 157 produtos activos
  Gerado: 2026-02-20 21:30
